SOURCE	TARGET	ENZYMES
C00712	C01595	;3.1.2.14;3.1.2.2
C00712	C00510	;3.1.2.2
C00712	C03595	3.1.2.2
C00712	C16165	3.1.2.2
C00712	C00412	;3.1.2.2
C00712	C00010	;3.1.2.2
C00712	C16162	3.1.2.2
C00712	C06428	3.1.2.2
C00712	C02050	;3.1.2.14;3.1.2.2
C00712	C00229	3.1.2.14
C00712	C00249	;3.1.2.14;3.1.2.2
C00712	C02041	3.1.2.2
C00712	C03035	;3.1.2.2
C00712	C00154	;3.1.2.2
C00712	C06425	3.1.2.2
C00712	C06426	3.1.2.2
C00712	C16169	3.1.2.2
C00712	C06427	3.1.2.2
C00712	C02249	3.1.2.2
C00712	C00219	;3.1.2.2
C00712	C06429	3.1.2.2
C00712	C01530	3.1.2.14;3.1.2.2
C00712	C01203	3.1.2.14
C00712	C03242	3.1.2.2
