pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
De novo fatty acid biosynthesis	1	12	0.021426770859591632	E21	C00712	(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid
Vitamin D3 (cholecalciferol) metabolism	0	0	0.030921771279724394			
Hyaluronan Metabolism	0	0	0.030921771279724394			
N-Glycan biosynthesis	0	0	0.030921771279724394			
Glycolysis and Gluconeogenesis	0	0	0.030921771279724394			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.030921771279724394			
R Group Synthesis	0	0	0.030921771279724394			
C5-Branched dibasic acid metabolism	0	0	0.030921771279724394			
Pyruvate Metabolism	0	0	0.030921771279724394			
Sialic acid metabolism	0	1	0.030921771279724394			
Chondroitin sulfate degradation	0	0	0.030921771279724394			
Di-unsaturated fatty acid beta-oxidation	0	1	0.030921771279724394			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.030921771279724394			
Linoleate metabolism	0	3	0.030921771279724394			
Hexose phosphorylation	0	0	0.030921771279724394			
Vitamin B2 (riboflavin) metabolism	0	0	0.030921771279724394			
Squalene and cholesterol biosynthesis	0	0	0.030921771279724394			
Galactose metabolism	0	0	0.030921771279724394			
Keratan sulfate degradation	0	0	0.030921771279724394			
Glycerolipid metabolism	0	0	0.030921771279724394			
Carnitine shuttle	0	0	0.030921771279724394			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.030921771279724394			
Alkaloid biosynthesis II	0	0	0.030921771279724394			
Vitamin B1 (thiamin) metabolism	0	0	0.030921771279724394			
Glycosphingolipid biosynthesis - globoseries	0	0	0.030921771279724394			
Histidine metabolism	0	0	0.030921771279724394			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.030921771279724394			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.030921771279724394			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.030921771279724394			
Bile acid biosynthesis	0	4	0.030921771279724394			
Parathio degradation	0	0	0.030921771279724394			
Propanoate metabolism	0	0	0.030921771279724394			
Blood Group Biosynthesis	0	0	0.030921771279724394			
Electron transport chain	0	0	0.030921771279724394			
Vitamin H (biotin) metabolism	0	0	0.030921771279724394			
Biopterin metabolism	0	0	0.030921771279724394			
Vitamin E metabolism	0	0	0.030921771279724394			
Androgen and estrogen biosynthesis and metabolism	0	0	0.030921771279724394			
Glycine, serine, alanine and threonine metabolism	0	0	0.030921771279724394			
Caffeine metabolism	0	0	0.030921771279724394			
Lipoate metabolism	0	0	0.030921771279724394			
Heparan sulfate biosynthesis	0	0	0.030921771279724394			
Drug metabolism - cytochrome P450	0	0	0.030921771279724394			
Vitamin B9 (folate) metabolism	0	0	0.030921771279724394			
Tryptophan metabolism	0	0	0.030921771279724394			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.030921771279724394			
Urea cycle/amino group metabolism	0	0	0.030921771279724394			
Vitamin A (retinol) metabolism	0	2	0.030921771279724394			
Valine, leucine and isoleucine degradation	0	0	0.030921771279724394			
Fatty Acid Metabolism	0	5	0.030921771279724394			
Glycosaminoglycan degradation	0	0	0.030921771279724394			
Fatty acid oxidation	0	0	0.030921771279724394			
Fructose and mannose metabolism	0	0	0.030921771279724394			
ROS Detoxification	0	0	0.030921771279724394			
Xenobiotics metabolism	0	2	0.030921771279724394			
Saturated fatty acids beta-oxidation	0	2	0.030921771279724394			
CoA Catabolism	0	0	0.030921771279724394			
Omega-3 fatty acid metabolism	0	0	0.030921771279724394			
Butanoate metabolism	0	0	0.030921771279724394			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.030921771279724394			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.030921771279724394			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	0	0.030921771279724394			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	0	0.030921771279724394			
