m/z	retention_time	p-value	t-score	custom_id
885.54802	16.302	1	0.5493028306333333	N1
804.5751	19.724	1	0.24524692333333334	N2
883.53182	15.792	1	0.32401044419999997	N3
802.55911	18.807	1	0.8642755017333333	N4
762.50662	17.058	1	0.10200039575	N5
826.55882	18.392	1	-0.46111435995000005	N6
747.5652	16.792	1	-0.6233193912666666	N7
540.33037	10.662	1	0.04118867555	N8
850.55826	18.167	1	0.25854380116666664	N9
500.27797	9.825	1	0.3660423989166666	N10
819.51703	16.348	1	-0.08625371361666666	N11
828.57385	19.224	0	1.30774202835	N12
568.36144	11.98	1	0.6790769692999999	N13
887.56249	17.004	0	1.553468027683333	N14
773.53171	17.523	1	0.11502816006666662	N15
764.52207	17.408	0	1.3764663202833334	N16
465.30387	13.098	1	0.08514221525000011	N17
738.50735	17.228	0	1.2522757972666667	N18
566.34622	10.886	1	0.7536605361166667	N19
854.58935	20.033	1	0.02798693991666669	N20
857.51657	15.592	1	0.049144642116666686	N21
856.60557	21.713	1	1.14643098355	N22
480.3093	10.665	1	0.23060740109999997	N23
480.30913	11.502	1	0.57300790675	N24
524.2777	9.895	1	0.16658076386666662	N25
311.1685	9.113	1	0.3990331719	N26
766.53811	18.281	0	1.4616515661333334	N27
514.28391	6.249	1	-0.3250494195	N28
325.18407	9.794	1	0.3614640923666667	N29
452.27793	10.317	1	-0.12542349321666665	N30
852.57342	18.599	1	-0.043368389333333285	N31
776.54354	18.335	1	1.1943235062666666	N32
788.52134	17.266	1	0.07022273239999999	N33
859.53205	16.114	1	1.1641421653833333	N34
771.51653	16.826	1	-0.06822354573333334	N35
953.53476	16.285	1	0.5519741597666666	N36
339.1997	10.45	1	0.3338427030833333	N37
747.51686	17.74	1	0.43914237436666664	N38
810.52722	17.947	1	0.5193853408166667	N39
865.50078	15.758	1	-0.41521472201666676	N40
599.3192	10.812	1	0.4260471813833335	N41
800.54367	18.044	1	-0.019242358533333354	N42
782.49663	16.731	1	0.30738372290000004	N43
588.33005	10.104	1	0.30865778108333336	N44
795.51673	16.512	1	-0.01476055705000003	N45
745.50158	16.495	1	0.4767746095333334	N46
740.52112	17.584	1	0.6101243852166667	N47
619.28792	9.223	1	0.4785695402833333	N48
478.29404	10.637	1	0.7781241694000001	N49
265.14805	8.045	1	-0.49109121801666666	N50
861.54689	16.201	0	1.2872940382333333	N51
872.5609	19.757	1	-0.4019122982833333	N52
612.3297	10.164	1	0.49391573953333334	N53
566.34542	11.731	1	-0.7176732485499999	N54
564.33018	10.071	1	0.9441035817499999	N56
817.50131	16.074	1	-0.4182634701833333	N57
714.50712	17.386	1	0.7085390084166667	N58
790.53785	18.096	1	0.4116263928333333	N59
834.54945	16.412	1	-0.6832451651	N60
890.53855	14.881	1	-1.1916481168833335	N63
836.56405	16.68	1	-0.6951637929166666	N64
528.30945	10.756	1	0.21965528856666672	N65
824.54279	17.941	1	0.20041913888333335	N66
716.52249	18.123	1	0.5263000953666667	N67
508.34047	11.982	1	0.6585963185999999	N68
806.49639	16.606	1	0.6311718998333333	N69
638.36648	11.496	1	-0.8484121902333333	N70
876.57306	18.305	1	0.7010740195333333	N71
514.28391	5.244	1	0.20891360748333335	N72
760.49102	16.23	1	0.0982538212833333	N73
858.55083	16.363	1	-0.8121929080333334	N74
736.4915	16.342	1	0.8757774049	N75
526.29353	10.275	1	0.15383796560000004	N76
981.51665	12.711	1	-0.5461585085833331	N77
821.53169	16.916	1	0.2596597126833334	N78
871.53153	16.031	1	0.12609794560000007	N79
506.32504	10.912	1	0.70126412755	N80
873.5485	16.597	1	1.1328387524833334	N82
697.35547	11.394	1	-0.46299586316666663	N84
588.46572	15.306	1	-0.11862764298333343	N85
878.58922	19.408	0	1.2369303103833333	N86
778.56007	19.583	1	-0.1960864420833333	N87
509.28798	10.355	1	0.07260861954999998	N88
624.35095	11.27	1	-0.6691905649833334	N89
834.52598	17.909	1	0.9643275624166667	N90
797.53167	17.057	1	0.3130017170333333	N91
536.29912	10.883	1	-0.8517588544333334	N93
914.53851	15.131	1	-0.8930436263999999	N94
524.29884	11.244	1	0.5642670356999999	N95
498.28921	7.167	1	-0.18669639308333333	N96
793.50131	16.16	1	-0.23638668173333327	N97
574.44997	14.716	1	-0.5595389942833334	N98
909.5458	16.191	1	0.5720434828000001	N99
719.48601	16.522	1	0.5063316010666666	N100
791.48559	15.7	1	-0.2722079316166667	N101
578.34563	12.204	1	-0.19896448995	N102
908.54916	13.253	0	-1.3073689264	N103
815.55185	16.788	1	-0.6633813195666667	N105
951.51885	15.806	1	0.34559024250000003	N106
592.3249	10.888	1	-1.1653774129499999	N107
281.24834	12.466	1	0.7490446829	N108
621.30343	9.827	1	1.0896909281833334	N109
664.38208	11.865	1	-0.6509032024333333	N110
790.56026	19.176	1	0.08074248935000002	N111
870.54506	18.795	1	0.7316994473666667	N112
917.53666	14.994	1	-0.45005643868333345	N113
830.49343	17.067	1	0.046071472449999956	N114
608.35584	11.028	1	-0.6144956149999999	N115
544.26725	9.544	1	0.6981065217666667	N116
860.5656	16.651	1	-0.5432412018	N117
610.33516	10.456	1	-0.76179781145	N118
1015.5059	16.285	1	0.5182501439	N119
733.54941	16.24	1	-0.5426737849666666	N120
568.26593	9.757	1	0.4163951693	N121
835.53252	16.144	0	1.2393784683	N122
594.34025	11.008	1	-0.5406335695	N123
862.57969	17.631	1	-0.1594027964333333	N124
769.50127	16.323	1	0.13657703566666662	N125
590.34563	10.667	1	0.99732067935	N126
407.28015	7.557	1	0.20233367998333335	N127
894.54504	18.379	1	-0.5511620843	N128
295.2278	9.254	1	-0.6933928401499999	N129
742.53835	18.497	0	1.7294807659500002	N131
502.2936	10.389	1	0.5676764199833333	N132
632.35573	11.286	1	-0.9389919088666665	N133
736.51747	14.061	1	0.2229553626166667	N134
327.23265	11.673	1	0.2547222471666667	N136
967.53687	12.906	1	-0.9331935316666667	N137
782.49397	17.37	1	0.9020262638666665	N138
889.57676	17.812	1	1.1456052058666668	N139
768.55414	18.897	1	1.0190970191166666	N140
778.50145	15.93	1	-1.0240377594833334	N141
848.52731	13.649	1	-0.3788402835666667	N142
582.50956	17.101	1	0.24215241031666673	N143
794.54687	19.754	1	0.23454150349999994	N144
918.5452	18.156	1	0.3171319307166667	N145
874.5578	17.79	1	0.42324350413333334	N146
562.31447	11.253	1	-0.9883862681666667	N147
548.29641	11.503	1	0.6916171814833334	N148
608.31796	10.703	1	-0.05051969738333334	N150
407.28007	6.809	1	0.5782622785833332	N152
833.51606	15.621	1	-0.06652981941666669	N153
848.54243	17.471	1	0.3453847857	N154
680.3769	11.097	1	-0.85166618765	N155
