pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Saturated fatty acids beta-oxidation	2	2	0.003024955886059995	E207,E209	C02990,C02990	L-Palmitoylcarnitine$L-Palmitoylcarnitine
Squalene and cholesterol biosynthesis	3	8	0.013948407696832199	E331,E12,E14	C05107/CE2321,C11455/C11508/44mctr/C15783,C11455/C11508/44mctr/C15783	7-Dehydrodesmosterol/cholesta-5,7,24-trien-3beta-ol$4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol/4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol/4,4-dimethylcholesta-8,14,24-trienol/5-Dehydroavenasterol$4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol/4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol/4,4-dimethylcholesta-8,14,24-trienol/5-Dehydroavenasterol
Glycosphingolipid metabolism	3	8	0.013948407696832199	E112,E110,E106	C02934/C00319,C02934/C00319,C12144	3-Dehydrosphinganine/Sphingosine$3-Dehydrosphinganine/Sphingosine$Phytosphingosine; 4-D-Hydroxysphinganine
Carnitine shuttle	3	9	0.01882194773548441	E207,E143,E209	C02990,nrvnccrn,C02990	L-Palmitoylcarnitine$Nervonyl carnitine$L-Palmitoylcarnitine
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	1	1	0.022183009831106628	E22	C00350	Phosphatidylethanolamine
Mono-unsaturated fatty acid beta-oxidation	1	1	0.022183009831106628	E351	CE2591/CE0849	trans,cis-hexadeca-2,9-dienoyl-CoA/cis,cis-palmito-7,10-dienoyl-CoA
Sialic acid metabolism	1	2	0.04923955970086547	E2	C02737	Phosphatidylserine
Vitamin K metabolism	1	2	0.04923955970086547	E324	C05849	Vitamin K1 epoxide; (2,3-Epoxyphytyl)menaquinone; 2,3-Epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone; 2,3-Epoxyphylloquinone; 1a,7a-Dihydro-1a-methyl-7a-(3,7,11,15-tetramethyl-2-hexadecenyl)-naphth[2,3-b]oxirene-2,7-dione; Phylloquinone oxide; Phylloquinone epoxide; Phylloquinone-2,3-epoxide; Vitamin K1 2,3-epoxide; Vitamin K1 oxide
Vitamin D3 (cholecalciferol) metabolism	1	3	0.07629610957062431	E330		
Di-unsaturated fatty acid beta-oxidation	1	3	0.07629610957062431	E351	CE2591/CE0849	trans,cis-hexadeca-2,9-dienoyl-CoA/cis,cis-palmito-7,10-dienoyl-CoA
Tyrosine metabolism	1	3	0.07629610957062431	E369		
Urea cycle/amino group metabolism	1	4	0.09579026972523318	E369		
Glycerophospholipid metabolism	4	25	0.10419292496428871	E112,E22,E110,E2	C02934/C00319,C00350,C02934/C00319,C02737	3-Dehydrosphinganine/Sphingosine$Phosphatidylethanolamine$3-Dehydrosphinganine/Sphingosine$Phosphatidylserine
Bile acid biosynthesis	2	12	0.10805814637425426	E329,E330	,	$
Vitamin E metabolism	1	5	0.10915049155533149	E15		
Glycine, serine, alanine and threonine metabolism	1	5	0.10915049155533149	E308		
Valine, leucine and isoleucine degradation	1	6	0.12108226199479036	E308		
Butanoate metabolism	1	6	0.12108226199479036	E308		
C21-steroid hormone biosynthesis and metabolism	1	6	0.12108226199479036	E329		
Vitamin A (retinol) metabolism	1	14	0.15923031678010252	E22	C00350	Phosphatidylethanolamine
Hyaluronan Metabolism	0	0	0.16225527266616252			
