massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	760.58465	19.341	0.0	1.2378992111666667	P1
row2	876.80088	23.952	1.0	-0.8384545656333332	P2
row3	782.56882	18.116	1.0	-1.0897123420333332	P3
row4	758.56897	18.518	1.0	0.8468190805	P4
row5	806.56868	17.913	1.0	0.43621838225	P6
row6	874.78481	23.42	1.0	-1.0464256277333335	P7
row7	848.76963	23.348	1.0	-0.7697554764000001	P8
row8	784.58393	19.02	0.0	1.7479533525833333	P9
row9	810.59934	19.6	1.0	-0.4614812848833334	P10
row10	902.81583	23.995	1.0	-0.6836489513833334	P11
row11	812.61544	21.49	0.0	1.4829343801000001	P12
row12	703.57457	16.649	1.0	-0.8879092041833334	P13
row13	808.58384	18.354	1.0	-1.1103206417	P14
row14	846.75373	22.872	1.0	-1.0361405493666667	P15
row15	850.78588	23.923	1.0	-0.5158419930166667	P16
row16	738.64643	16.871	1.0	0.5052901744166666	P17
row17	764.52141	16.962	1.0	-0.9379444475666665	P18
row18	872.76922	22.977	1.0	-1.19513370285	P19
row19	900.80052	23.515	1.0	-1.0702419938	P20
row20	732.55364	18.061	0.0	1.3683314948833332	P21
row21	820.73836	22.798	1.0	-1.0822908981333335	P22
row22	496.33969	10.5	1.0	-0.7736917713833333	P23
row23	904.83199	24.673	1.0	0.015911783950000036	P24
row24	832.58431	18.079	1.0	1.1116561719666667	P25
row25	1520.165	19.408	1.0	1.02019886795	P26
row26	756.55353	17.775	1.0	0.5967922426833333	P27
row27	524.37105	11.862	1.0	-0.37254638190000006	P28
row28	834.59966	19.173	1.0	0.9584837555666667	P29
row29	768.55383	18.153	0.0	1.6839007607333332	P30
row30	766.53753	17.304	0.0	1.5072212881666665	P31
row31	638.57153	19.294	1.0	-0.38879269936666666	P32
row32	740.52205	17.125	0.0	1.3108800407166665	P33
row33	813.68382	23.413	1.0	0.11177490671666665	P34
row34	862.78563	23.666	1.0	-0.6658078357333332	P35
row35	904.59029	15.514	1.0	0.9415186672166667	P36
row36	780.55264	17.858	1.0	0.6686342787166668	P37
row37	734.56962	19.235	1.0	-0.5249612591666666	P38
row38	822.75466	23.301	1.0	-0.6745751474833334	P39
row39	844.73831	22.453	1.0	-1.1485364364833333	P40
row40	930.84806	24.66	1.0	-0.21097574728333335	P41
row41	534.52389	17.445	0.0	1.5122428909333334	P42
row42	522.35572	10.769	1.0	-0.5860057772499999	P43
row43	898.78507	23.098	1.0	-1.1482665124166667	P44
row44	774.60121	21.321	1.0	0.7636339186166667	P45
row45	804.55288	17.31	1.0	-0.9383870598999999	P46
row46	790.53726	17.158	1.0	-1.1830957885666666	P47
row47	818.72271	22.344	1.0	-1.0175561825166666	P48
row48	746.60585	22.845	1.0	-0.29558527515	P49
row49	730.53824	17.428	1.0	0.62939360315	P50
row50	870.75379	22.606	0.0	-1.2291293015166667	P51
row51	746.57037	18.905	1.0	1.14088804105	P52
row52	890.81704	24.3	1.0	-0.13894500284999994	P53
row53	544.33966	9.935	1.0	-1.2055091913666667	P54
row54	878.81697	24.669	1.0	0.06195682086666666	P55
row55	888.80117	23.721	1.0	-0.7523960155666666	P56
row56	429.37233	15.204	0.0	-1.4378606817666668	P57
row57	830.56865	17.588	0.0	1.3947245424833334	P58
row58	429.37233	16.368	1.0	-0.31310533339999996	P59
row59	612.55593	19.183	1.0	0.017602877833333336	P60
row60	812.54346	16.714	1.0	0.2762021150833333	P61
row61	627.53429	15.506	1.0	0.8678571488333333	P62
row62	1565.13692	18.088	0.0	-1.2726619490666666	P63
row63	1516.1338	18.476	1.0	0.17299410406666663	P64
row64	1546.17871	19.186	1.0	0.44905813774999986	P65
row65	610.54031	18.538	1.0	-0.7398184383833334	P66
row66	568.33953	10.002	1.0	-1.00696430625	P68
row67	926.81688	23.685	1.0	-1.0937620127666665	P69
row68	552.53444	17.445	0.0	1.5271427678333334	P70
row69	792.70756	22.261	1.0	-1.0403101564833335	P72
row70	768.5904	19.141	1.0	-0.6034691502166666	P73
row71	928.83243	24.171	1.0	-0.26088384901666667	P74
row72	792.55353	17.89	1.0	-0.11397204091666668	P75
row73	689.55902	16.185	1.0	-0.9035734403999999	P76
row74	742.5383	17.553	0.0	1.9301723269166664	P77
row75	1613.13724	17.855	1.0	-0.3896235388333334	P78
row76	796.58426	18.918	1.0	-1.1346663040166667	P79
row77	1571.18446	19.613	1.0	-0.7324608428000001	P80
row78	1537.19337	18.938	0.0	1.4850627077	P81
row79	860.77012	23.146	1.0	-0.6853214423333334	P82
row80	1572.19639	20.643	1.0	0.44665865943333344	P83
row81	834.75464	23.095	1.0	-0.6655643517666666	P84
row82	520.33989	9.919	1.0	-0.34415001295000003	P85
row83	782.56724	19.44	0.0	1.4413795473333333	P86
row84	906.60684	16.22	0.0	1.2496155262333333	P87
row85	794.72337	22.738	0.0	-1.26692181505	P88
row86	1566.14898	18.375	1.0	-0.18397816031666664	P89
row87	720.59014	22.505	1.0	-0.08356102276666671	P90
row88	1564.13357	18.09	0.0	-1.3379374798499999	P91
row89	502.29279	9.651	1.0	-0.6423481965166667	P92
row90	922.78543	23.037	1.0	-1.14729033835	P93
row91	896.77001	22.705	1.0	-1.1993328486166668	P94
row92	887.56492	15.506	1.0	0.8955974929166666	P95
row93	820.58442	18.498	1.0	-0.39024751899999993	P96
row94	1540.13309	18.234	1.0	0.7649252527166666	P97
row95	603.53438	19.296	1.0	-0.4255582275833333	P98
row96	636.55621	18.731	1.0	-0.8580404678333333	P99
row97	577.51875	19.187	1.0	-0.05833425518333338	P100
row98	812.65201	21.395	0.0	-1.5155196347333333	P101
row99	824.61565	20.933	1.0	-0.42727774323333334	P103
row100	902.57572	15.006	1.0	-0.35471690138333334	P104
row101	520.50864	16.949	1.0	-0.1022847614500001	P105
row102	762.50642	16.138	1.0	-1.0960369521666666	P106
row103	526.29278	9.716	1.0	-1.1077457685833334	P107
row104	716.5227	17.295	1.0	0.38263704381666663	P108
row105	339.28915	19.286	1.0	-0.22510706655	P109
row106	762.60039	23.069	1.0	0.6790332064666667	P110
row107	577.51887	23.786	1.0	-0.7463274376833333	P111
row108	794.60535	19.171	1.0	-0.6552331195333332	P112
