fid	Apex m/z	RT [min]	Platform	Mode
P1	760.58465	19.341	C18	POS
P2	876.80088	23.952	C18	POS
P3	782.56882	18.116	C18	POS
P4	758.56897	18.518	C18	POS
P5	786.59991	20.653	C18	POS
P6	806.56868	17.913	C18	POS
P7	874.78481	23.42	C18	POS
P8	848.76963	23.348	C18	POS
P9	784.58393	19.02	C18	POS
P10	810.59934	19.6	C18	POS
P11	902.81583	23.995	C18	POS
P12	812.61544	21.49	C18	POS
P13	703.57457	16.649	C18	POS
P14	808.58384	18.354	C18	POS
P15	846.75373	22.872	C18	POS
P16	850.78588	23.923	C18	POS
P17	738.64643	16.871	C18	POS
P18	764.52141	16.962	C18	POS
P19	872.76922	22.977	C18	POS
P20	900.80052	23.515	C18	POS
P21	732.55364	18.061	C18	POS
P22	820.73836	22.798	C18	POS
P23	496.33969	10.5	C18	POS
P24	904.83199	24.673	C18	POS
P25	832.58431	18.079	C18	POS
P26	1520.165	19.408	C18	POS
P27	756.55353	17.775	C18	POS
P28	524.37105	11.862	C18	POS
P29	834.59966	19.173	C18	POS
P30	768.55383	18.153	C18	POS
P31	766.53753	17.304	C18	POS
P32	638.57153	19.294	C18	POS
P33	740.52205	17.125	C18	POS
P34	813.68382	23.413	C18	POS
P35	862.78563	23.666	C18	POS
P36	904.59029	15.514	C18	POS
P37	780.55264	17.858	C18	POS
P38	734.56962	19.235	C18	POS
P39	822.75466	23.301	C18	POS
P40	844.73831	22.453	C18	POS
P41	930.84806	24.66	C18	POS
P42	534.52389	17.445	C18	POS
P43	522.35572	10.769	C18	POS
P44	898.78507	23.098	C18	POS
P45	774.60121	21.321	C18	POS
P46	804.55288	17.31	C18	POS
P47	790.53726	17.158	C18	POS
P48	818.72271	22.344	C18	POS
P49	746.60585	22.845	C18	POS
P50	730.53824	17.428	C18	POS
P51	870.75379	22.606	C18	POS
P52	746.57037	18.905	C18	POS
P53	890.81704	24.3	C18	POS
P54	544.33966	9.935	C18	POS
P55	878.81697	24.669	C18	POS
P56	888.80117	23.721	C18	POS
P57	429.37233	15.204	C18	POS
P58	830.56865	17.588	C18	POS
P59	429.37233	16.368	C18	POS
P60	612.55593	19.183	C18	POS
P61	812.54346	16.714	C18	POS
P62	627.53429	15.506	C18	POS
P63	1565.13692	18.088	C18	POS
P64	1516.1338	18.476	C18	POS
P65	1546.17871	19.186	C18	POS
P66	610.54031	18.538	C18	POS
P67	836.61574	20.827	C18	POS
P68	568.33953	10.002	C18	POS
P69	926.81688	23.685	C18	POS
P70	552.53444	17.445	C18	POS
P71	772.58518	19.156	C18	POS
P72	792.70756	22.261	C18	POS
P73	768.5904	19.141	C18	POS
P74	928.83243	24.171	C18	POS
P75	792.55353	17.89	C18	POS
P76	689.55902	16.185	C18	POS
P77	742.5383	17.553	C18	POS
P78	1613.13724	17.855	C18	POS
P79	796.58426	18.918	C18	POS
P80	1571.18446	19.613	C18	POS
P81	1537.19337	18.938	C18	POS
P82	860.77012	23.146	C18	POS
