ID	LD2169	LD2170	LD2171	LD2243	LD2244	LD2245	LD2162	LD2163	LD2164	LD2213	LD2214	LD2215	LD2166	LD2157	LD2158	LD2223	LD2224	LD2225
P1	12.65805465	12.87667927	12.69369368	12.95231245	12.78896223	13.03386474	12.65841654	12.77802871	12.6714509	12.42566614	12.52472866	12.57566894	12.59447299	12.49214653	12.6174497	12.88467396	13.08494635	12.90950876
P2	11.45294602	11.12844337	10.89059982	10.86134017	11.40305661	10.51980442	11.26015703	11.2126123	11.44869246	11.60573645	11.27371071	10.80150517	11.2689331	11.06266289	10.98035615	11.09408928	11.24134561	11.42602089
P3	11.80244465	11.96187299	11.79045564	11.77367031	11.24817611	11.82328603	12.13737661	12.05089659	11.9819213	12.04638322	12.04013464	11.62361369	11.82271598	12.07713523	11.95723942	11.4718194	11.80065702	11.59505503
P4	11.6600964	11.88947792	11.81950757	11.9586547	11.74053358	11.79514448	11.66566264	11.87222078	11.77710223	11.34712268	11.37512828	11.80282748	11.86581919	12.06026158	12.11100905	11.7154485	11.78402018	11.46080887
P6	11.4629992	11.85445918	11.71854606	11.64615531	11.44224363	11.68615564	11.63235011	11.6982685	11.63171904	11.55425497	11.40673586	11.54162232	11.6823025	11.85056966	11.6591853	11.41002945	11.56869765	11.46636757
P7	10.60075387	9.945674128	10.34433952	10.22452312	10.76091519	9.830171662	10.4128963	10.51348894	10.59027223	10.93216082	10.58121439	10.31720326	10.53876647	10.42170253	10.51335843	10.17969621	10.27341818	10.57807503
P8	10.48952186	9.860029795	10.14850543	10.05035296	10.21405923	9.721297564	10.03242954	10.20753163	10.39022632	10.60695085	10.33792115	9.975466621	10.31595256	10.13383223	10.23694437	10.13284902	10.31850699	10.61387599
P9	11.14593746	11.26992202	11.37451706	11.35937676	11.40589873	11.12553053	10.74712907	10.82330038	10.77500967	10.81958897	10.67682817	10.97287874	10.5735965	10.9168557	10.85054089	11.19718916	11.45968394	11.30148988
P10	10.94026952	11.12506982	10.86689672	10.81689608	10.55098838	10.83591022	11.10645222	10.92954827	11.11188561	11.19840418	10.83786519	10.49184529	10.78329794	11.04499366	10.85810027	10.55319951	10.91630758	10.87697736
P11	9.760503054	9.430011529	9.403661732	9.445490713	10.41664459	9.147539077	9.722338044	9.775867674	9.790385241	10.04981192	9.877792764	9.567077263	9.83771498	9.515707919	9.651405244	9.803069082	9.349277937	9.956423605
P12	10.55962035	10.82420818	10.61011987	10.74142565	10.81258973	10.74049129	9.978531122	10.11997092	10.23403816	10.20304587	9.857471587	10.04749789	9.823302406	10.1187161	9.528191701	10.70116663	11.02373777	10.97166648
P13	8.944244644	10.25466581	9.501765892	10.07056354	8.749405018	9.890624291	10.19384455	10.09331759	9.765373899	9.697631852	10.19511588	9.8462395	9.886335828	10.11469349	9.07723619	9.653072085	9.297800677	10.15168154
P14	10.22951997	10.14370553	10.11763281	9.981709879	10.11710214	9.853394961	10.48032789	10.240773	10.32970171	10.60460875	10.56026088	9.736924475	9.958442846	10.1118898	9.944955126	10.00986913	10.2183232	10.14483986
P15	9.688592469	8.73313618	9.189203795	8.874793319	9.21803123	8.507899419	9.134557805	9.345284964	9.359256862	9.811772048	9.27991827	9.311493848	9.582894441	9.484718543	9.753358704	9.217775621	9.298134046	9.211689772
P16	9.307016273	9.181144213	8.651368023	8.728523184	8.628112412	8.164169633	9.142412786	8.912959127	9.338738961	9.320311647	9.037953277	8.13827574	8.798870559	8.606225328	8.347152102	9.12726833	9.395012097	9.3086779
P17	9.845017844	9.915375855	9.770462962	9.799065414	9.909436711	10.07524563	9.781512339	9.595580653	9.532013633	10.22413289	9.578037657	9.842501373	9.355201423	9.323424567	9.507606953	9.608375132	10.19594495	9.874134664
P18	9.273812994	9.63685553	9.505996273	9.64245652	9.381276337	9.787699167	9.821160043	9.839692207	9.851998863	9.796883785	9.613875609	9.747555986	9.735012526	9.763646458	9.768898477	8.957873545	9.248761627	9.219677751
P19	9.070608144	8.105420665	8.686104718	8.154351585	8.689550827	7.889557709	8.741115202	8.985051762	8.900606599	9.381711739	8.817902904	9.059286715	9.312663619	9.207957557	9.536204111	8.328688304	8.28223772	8.522798904
P20	8.871804823	8.034818134	8.493678569	8.317831108	8.891636481	7.846647393	8.61030406	8.75628581	8.718524242	9.017439617	8.87893422	8.426757037	8.770474368	8.521462032	8.633758369	8.220393637	8.342393849	8.580486131
P21	9.226951036	9.086833529	9.297127762	9.730616223	9.589718852	9.839062591	8.655403053	8.914139095	8.861578081	8.779836349	8.83572615	9.52896053	8.861154901	9.039197164	9.051764141	9.645909759	9.933666413	9.488496269
P22	8.915447955	7.847374836	8.27811448	8.144733222	8.377291192	7.845836211	8.279798976	8.558736287	8.554875776	9.027818119	8.349526384	8.676783701	8.741175528	8.530444688	8.809662088	8.53360775	8.645270605	8.440890141
P23	8.443513284	8.904425913	8.424250304	8.967016277	8.175766691	9.332376129	8.694112876	9.370869458	9.178200533	8.838700056	8.695560757	8.909268094	8.921107995	9.138038172	8.575053391	8.544779414	8.79205901	8.901568375
P24	8.664975476	8.40940038	8.303038847	8.228415758	8.780833497	7.578435631	8.263782	8.249172711	8.567460326	8.532959059	8.578913131	7.743416627	8.191442017	8.054794045	7.993573655	8.34560955	8.580354137	8.50540881
P25	9.196279015	9.146910991	9.215770826	9.156432425	9.510403119	9.361742711	9.091048007	9.133688656	8.958329154	9.205914211	9.117082036	9.091346989	8.901302964	9.076668842	8.839795077	9.071912705	9.13349857	9.062156985
P26	8.695892234	9.03828328	8.789187718	9.287755518	8.904519613	9.37124933	8.752358657	8.87698195	8.774979105	8.53925343	8.674281661	8.930387737	8.641125256	8.623514366	8.704622617	9.098860004	9.347272272	9.125006607
P27	7.667912224	8.206055187	8.632759648	8.297480114	8.815872392	8.430772913	7.608769572	8.281014128	8.101045065	7.879627514	7.634957434	9.089234624	8.363204971	8.493135818	8.789430242	7.992951208	8.13305543	8.055573575
P28	7.71358462	8.218690271	7.408221302	8.026043766	7.343428166	8.326218345	7.676393308	8.487900104	8.425364096	8.04235547	7.557984018	7.730512363	7.722744643	8.395072039	7.136221083	8.056029012	8.049728249	8.346635345
P29	9.192233593	9.141604701	8.919788307	9.061265615	9.19556629	8.785845677	9.143978941	8.695634306	8.991362749	9.046462745	8.775848895	8.522265203	8.900431266	9.032600794	8.807324821	8.617619685	9.072506625	8.834869584
P30	8.643656494	8.939060259	8.821627217	9.014044817	8.847252109	8.843112625	8.627550596	8.588672262	8.612039214	8.572132749	8.40679908	8.465457736	8.408738642	8.597042391	8.51079407	8.69469553	8.966262733	8.703941353
P31	8.788421261	8.796393812	8.929763816	8.965688974	8.838467998	8.840857284	8.65083892	8.547770963	8.48910517	8.730484727	8.561603577	8.488455283	8.28662592	8.42717575	8.473561506	8.694018159	8.844997298	8.794270391
P32	8.095360763	6.383499426	7.766361423	7.024972154	7.136719412	6.501578701	7.851962711	7.551433348	7.337933464	7.017075823	8.540573847	6.072166131	7.836848308	7.133457458	7.995413055	7.115254207	6.737210838	7.283363293
P33	8.50516166	8.613005175	8.743844273	8.927557938	8.563003665	8.819922587	8.482676539	8.42753711	8.408891043	8.549895041	8.334462765	8.332375092	8.161448364	8.303047394	8.421297349	8.593369666	8.920299776	8.691580378
P34	-1.051520056	8.248763306	-2.366931166	7.290841474	-0.08646218	8.250200445	0.878114138	8.604594786	0.246272313	-0.65174928	0.069611794	8.379702773	-0.019452075	7.931677405	-0.621609148	0.001035936	-0.287096367	-1.700091469
P35	7.91034063	6.984552675	7.522926068	7.404958069	7.834158886	6.923645445	7.472120649	7.49559116	7.656356958	8.066352219	7.598700215	7.377659411	7.606905685	7.412713835	7.551803242	7.424837097	7.711399542	7.642557293
