ID	LD2169	LD2170	LD2171	LD2243	LD2244	LD2245	LD2162	LD2163	LD2164	LD2214	LD2215	LD2166	LD2157	LD2158	LD2223	LD2225
A0A068ETZ5	1.279211773	0.419234183	-0.684038392	1.413282411	-0.551581458	-0.867954125	-0.000270891	-1.4245064	-0.092127868	-0.13709667	-0.236162462	0.564386581	1.470845424	0.293855329	-0.157128296	-1.074317447
A0A075B5M7	0.010147247	-1.622064711	-0.573320906	-0.649229846	-0.190089629	-1.748000095	0.475574199	-0.894372402	-0.557296061	0.023751691	1.015374917	0.221924816	0.728277071	1.428365872	1.62127075	0.616912588
A0A075B5N7	-0.736956583	-0.802594883	2.80273737	-0.272123453	0.68705718	-0.414046233	0.462451162	-0.492230149	0.109073148	-0.78332598	0.008820944	-0.435298896	0.239599416	-0.958432089	-0.396267128	0.944387908
A0A077S2U6	0.524329122	-0.577089742	-1.296065971	0.476889713	-1.968874202	-0.52808708	1.448094945	-0.311473778	1.539726009	0.431303185	-0.616059991	0.474073216	0.629761492	-0.283006258	-0.566462353	0.653993161
A0A087WQ04	0.341564907	0.261639519	-1.875379199	-0.277880755	-0.580216868	-0.036846019	1.540368507	-0.97453496	1.556454888	0.244931494	-0.447962392	-0.334989502	0.346695104	-0.792714241	-0.367205906	1.213091329
A0A087WSN6	0.315478882	-1.219480914	2.59554427	0.24876544	-0.605222365	-0.611377877	0.455675926	0.064682231	0.285946502	0.531814422	-0.252791704	-0.429894629	-0.768504291	-0.642409126	-0.423116512	0.694278052
A0A0A6YX73	1.097138164	0.112770247	-0.377592848	0.111237555	-0.735837519	-0.070154751	0.498808222	1.187113046	-0.113685341	0.548394169	-0.872718639	0.036961637	-0.151734483	-0.408313534	-0.720767069	0.281957745
A0A0A6YXX3	0.589940921	0.544921293	-0.681863284	-1.789351	0.040644436	-0.065941477	0.188110228	0.521880554	-0.390520671	0.12138204	0.544796779	1.26312008	-0.720795627	-0.507547291	0.37355997	0.312782273
A0A0B4J1G0	-0.172627874	1.162655485	-1.515350289	0.567324116	-0.535399846	0.339970431	0.287057562	0.413628612	1.540998046	0.771895698	-1.948446685	0.46419642	-1.131456174	-0.110897171	-0.265786664	0.119030724
A0A0F7R1P3	0.824506405	-1.395994666	-0.165775428	-0.783358988	0.09880265	0.153986526	0.646156388	-0.268125337	-1.322325871	1.298306048	-0.422135081	-1.786925428	0.624194668	1.191515397	0.2591907	0.99497017
A0A0G2JE93	0.228386543	0.74040061	-2.123375901	0.284203299	-1.414998865	-0.757608338	0.996829346	0.938110323	0.885679788	0.398870049	-0.521051417	0.088387466	-0.964049349	-0.320768661	0.639819628	0.987843093
A0A0J9YU79	-0.912126385	-0.725618485	1.445098903	-0.29475493	0.873380631	1.357718294	-0.950098414	-0.938072212	-1.003003912	0.931943559	1.085376421	-0.608356068	0.462534569	-0.296904993	-0.016853044	-0.608039757
A0A0J9YUI8	-0.368304089	0.018233747	0.454999481	-1.842978238	-0.266030484	1.167555718	-0.20627766	-0.482999744	-0.863263395	0.948249278	-0.376506035	-0.18942695	0.7444422	-0.412666107	0.375545141	1.256193755
A0A0M4KM70	0.433145162	-0.029731279	1.871119445	-1.188018992	0.769675804	-0.012579773	-0.020652637	-0.393186411	1.218250634	-0.441972519	1.073103083	-1.091165046	-0.235399758	-1.856118136	-0.198531034	0.094634627
A0A0N4SUJ3	0.810964251	-0.483582187	-1.446926387	-0.428117047	0.119918315	1.132202356	-0.25835133	-1.298772174	-1.147731429	-0.750609114	-0.591244876	1.765083728	0.847614077	1.003473332	1.01797043	-0.29256591
A0A0N4SVU1	-0.41133602	0.538641937	1.924076169	1.189549578	-0.663590279	-0.25977422	-1.592585079	-0.369815575	-0.812927413	0.665569149	1.126692501	-0.978907731	0.74483025	-0.185706784	-0.129082544	-0.707551988
A0A0R4J083	-0.743775054	-0.868161324	1.491047178	-0.112678478	-1.152976246	0.734915554	0.008797927	-0.679273103	-1.141945041	2.118899058	0.93187776	-0.602699126	0.152601531	-0.005613446	-0.388079771	0.299185258
A0A0R4J0B5	0.384211469	0.878451899	-2.424871089	0.713278529	0.979262995	0.561516907	1.061194889	-0.467552137	-0.572409319	-1.182013829	-0.201367482	0.354278796	0.577372483	-0.762407934	0.33526498	-0.348353107
A0A0R4J0I1	0.12855638	-1.498064909	0.882610331	0.593617085	-0.598399184	-1.020983134	-0.771049214	-0.990956911	-1.026859555	0.165926319	0.8813889	-0.896836602	1.343938724	0.914687832	1.29831928	0.485165219
A0A0R4J135	-0.017097588	0.205102553	1.081132028	-0.157910322	2.659703569	-0.181782598	-0.509229801	-0.303567266	-0.844303129	-0.47440232	0.292376575	-1.310629633	-0.225738359	-0.326066299	0.644782291	-0.54462417
A0A0R4J136	-0.654686996	0.080637543	0.780498713	0.218177545	0.676411867	-0.033002805	-0.869397404	-0.899199594	-0.597639351	-1.199334839	1.382498165	-0.505964385	-0.137092846	0.607602355	1.321390914	-0.482366951
A0A0R4J1H2	0.393573988	-1.26356807	-0.080616489	0.896892736	0.34927933	-0.330759497	-1.134971245	-0.934649145	-0.41025099	-0.761377721	0.487303801	-0.088460243	1.350195964	1.194941107	0.504438884	-0.486393601
A0A0S2Z428	-0.371352301	-0.786884523	-0.902128581	-0.338163579	1.639645235	-0.82315149	-0.596653961	-0.442296216	-0.232466859	-0.530753046	-0.3744281	-0.249350475	2.561350803	0.242740099	0.794794432	0.285602051
A0A0U1RP93	-0.809889796	-0.811046843	0.317456816	-1.279858027	0.018330043	0.895797213	1.287814904	0.148111134	0.791868845	1.769669282	0.71273262	0.318568053	-1.332978732	-1.059807238	0.078652691	-0.926751916
A0A0X1KG62	0.037155386	-0.713726432	-0.888759527	0.777580977	1.182716566	-0.596444885	0.15863682	-0.109127441	1.069914881	0.432570585	0.020427348	0.083516172	-0.042920055	-0.484393093	-1.28190972	0.04002042
A0A0X1KG66	-0.976752268	0.728914998	1.01938381	1.326500253	0.095033321	0.843993193	-0.576745459	1.066272548	-0.184705322	0.002096446	-0.343382166	0.730208987	-1.660655402	-1.586155217	0.453651319	-0.725495783
A0A140LHU9	0.220392616	0.342589446	0.354984261	0.33884491	-0.101386807	-1.079092739	0.377281727	0.591569245	0.094316279	-0.868812442	-0.611183932	1.247660471	0.430254625	0.579800976	-0.507668609	-1.042544185
A0A140T8J4	-1.231813366	0.617064218	0.677873774	0.029065007	-1.082956743	1.513401297	-1.210464882	-0.461729228	-0.618744794	0.081249136	0.665460561	-0.867009578	0.854810494	1.128958945	0.392082201	-0.647840648
A0A140T8M5	-1.081809988	-0.829211093	1.546847714	-0.36649778	-0.708997558	0.445076544	0.616632511	-1.087817429	-0.643121513	1.168045129	0.778706256	-1.307175897	0.113166118	-0.687550924	0.762661281	1.211983221
A0A140T8S5	0.100224437	-0.075956251	-1.19366905	1.0924581	0.313776062	-0.027903544	1.343586095	0.087224024	1.075771785	-1.042056186	-0.320855886	-0.145373759	-0.89878683	-0.133951048	-0.523665741	-0.099766861
A0A158SIT0	-0.010335042	0.383340288	-0.363960801	0.592286541	1.211620949	0.467965811	-1.344067856	0.402680727	-0.814917072	-1.873556548	0.492719195	-0.113920793	0.800278149	0.670743429	0.41993103	-1.156212092
A0A1B0GRG1	-0.315443306	0.13974172	1.34698544	-0.673230774	0.335327847	0.476031623	0.011292354	-0.800092114	0.241848816	2.383367552	-0.132710826	-0.96503273	-1.023194916	-1.257337994	-0.350960159	0.667333709
A0A1B0GRP7	-0.22667513	0.382910214	1.119509251	0.091369376	1.11758511	1.144019393	-0.747834004	-0.132287007	-0.564258562	0.833300273	0.782000003	-0.495025335	0.006426886	-0.388893994	-0.361230845	-2.496062267
A0A1B0GSH8	0.271376951	0.184054941	-1.083418109	0.511292221	-0.079468815	-0.211615129	1.196894864	0.232691946	0.330214263	-0.116261779	-1.914523734	1.290685164	-1.152971963	-0.477747868	0.69859723	0.561866223
A0A1B0GSR1	-0.450307743	-0.582560883	1.007768607	0.469710382	1.023321965	-0.052487393	-1.882810638	-0.510541906	-1.1989945	-0.934644625	0.545944878	-0.195572561	0.774308123	0.719702134	1.313130148	-0.261506389
A0A1L1ST07	-0.637486949	-0.398218229	1.785289995	-0.187456484	-0.259226792	1.113260728	-1.165112885	-0.862695096	-1.242039177	0.920104389	1.492946155	-0.706403351	-0.327340557	-0.172673521	0.622078632	-0.104305557
A0A1L1SUL4	0.077327027	1.497867598	-1.03225679	-0.358162691	1.089074645	0.778471948	-0.037384835	-0.119224385	-0.984833208	-0.016202057	1.492751246	-0.441690012	-0.82929433	0.232447136	-0.825196872	-0.741103487
A0A1L1SUS8	0.893606319	-0.400574168	-0.999061687	0.057441479	0.017172873	-1.240416073	0.818404005	-0.375713696	0.650126273	0.3835925	-1.46670504	0.21461424	0.580078808	-0.283311076	0.923563169	0.503124219
A0A1S6GWH3	-1.426033347	0.958946631	0.287382611	0.559970176	1.365671149	-0.188847359	-0.492031695	-0.191739367	0.895242273	0.103266557	-0.616653412	-1.284055139	-0.657486454	-0.551936882	0.568706054	0.336025248
A0A1W2P6R7	-1.13588551	1.411550636	0.202149668	0.143134411	1.409039776	-0.638796812	-0.497086935	-0.16786524	0.890184904	0.294222826	0.806728684	-0.376735603	-1.15557212	0.018876651	-0.559220437	-0.948349425
A0JLR7	0.877262285	-0.14085039	-1.511042485	0.309846468	-0.103626624	-1.338891691	1.224454637	1.033632379	0.855588556	-0.133399666	-0.335999671	0.393133281	0.288925759	-0.754513218	0.038552692	-0.35667235
A0JNU3	0.609310787	1.026265365	-1.020359549	-0.085941209	0.140984312	1.224242327	-0.279653576	0.501214734	-0.583035457	-2.485516099	0.788870645	0.634466129	0.415782648	0.111094014	-0.267166295	-0.865727701
A0PJ97	0.373611389	0.775079644	0.417733271	-0.197604851	2.090995102	-0.858095238	-0.922933353	-0.72154745	-0.977817756	-0.491477388	-0.894048595	-0.415025303	0.228936394	-0.140152396	1.544845216	0.210081645
A0PJF4	0.726189467	-0.050065745	-1.053514223	-0.742132129	-0.588732685	0.016085884	1.49284727	1.104016535	1.073192624	0.574531742	-0.069852727	0.760626082	-0.669233691	-1.234029771	-1.436253331	0.322532509
A1L329	-0.969506284	-1.8447021	-0.800850961	0.73106926	0.025207061	-0.156448032	-0.187231552	0.259583395	0.126234017	0.601480611	0.207952173	0.069162184	0.155521723	0.383278033	0.672801187	0.279883449
A1L3P4	-0.122219746	1.697246582	-1.415145063	0.755087833	-0.462619529	-0.130866202	0.904515238	0.029300405	1.537768033	-1.244674621	-0.009804641	-0.967604122	-0.413316824	-0.080764263	0.199249468	-0.495827885
A2A432	-0.15938168	-0.680995066	-1.956927513	0.151722924	0.714676418	-0.821068265	0.148540122	0.382181873	0.389438666	-1.16724719	-1.352295159	0.400164694	1.271259468	0.341939546	1.675633076	0.578869348
A2A5R2	0.455054255	1.73298106	-1.14958754	0.250271674	1.142925625	-0.850568436	0.457208562	-0.100471423	0.871157049	-0.337001516	-0.805352632	0.384355802	-0.309137547	-1.605844124	0.105566534	-0.037825881
A2A5W4	0.574127212	-0.241118832	-0.079358481	0.320417322	-0.23942168	-2.260222491	0.484427674	-0.02934465	0.024802802	-1.107267232	-0.479648863	0.877325558	0.614272052	1.1720847	0.475965651	-0.02970871
A2A7S8-2	0.710407322	-1.48692439	0.636867003	-0.899656815	0.756526128	0.580852737	0.87790646	1.367993912	0.540885777	-0.145239921	-0.952179161	0.577511078	-0.352843999	-1.052189572	-0.61632446	-0.270867764
A2A8Z1	0.692345393	-1.720955393	0.425648854	-0.503233626	0.127406796	0.027975916	0.856281594	-0.665031238	-0.209204974	1.17459767	-0.431870486	-0.612925717	1.472828321	-0.327238484	0.173739223	0.138137963
A2AAY5	-0.655662356	0.349474175	0.032622067	-0.076639726	-0.667340192	0.388306098	-0.486051223	-0.499690424	0.426578424	-0.062585124	-0.259426677	0.222356298	-2.014207971	-0.254327101	2.123813349	1.250726374
A2ADL9	0.244203602	-0.376708358	-1.619085673	0.770478432	-0.329536713	-1.628487564	1.311812258	0.201426226	0.565582055	-1.221704099	0.132227382	0.273709934	1.810816559	0.514213366	-0.39741262	-0.29805809
A2ADW8	0.070008482	-0.620159912	2.145497175	0.346710418	0.149882076	0.418874609	0.453499658	-0.893935026	-0.949332496	0.073174501	0.767035395	-1.465814298	-0.915129735	-1.201025619	0.875694043	0.708001662
A2ADY9	-0.550124606	-0.968151239	1.415781319	-0.289850357	0.425951988	1.022777082	-1.05434387	-0.120404451	-0.961750705	-0.931902594	0.334030167	-0.770628186	1.555210753	0.336474091	1.421974946	-0.881883383
A2AE91	0.166340356	0.784194541	-0.644978954	0.19510271	-0.633000061	0.586063464	-0.371202979	1.578846538	1.389683043	-1.183209903	-1.089995827	0.804583311	-0.912295038	0.331012205	-1.287258623	0.103479624
A2AGT5	1.483389751	0.986852016	-1.761681049	-0.195039786	1.32939756	-1.090032767	0.615195069	0.139994263	0.821361223	-0.76913013	-1.360591911	-0.132670249	0.215091699	0.212564044	-0.280844465	-0.153700586
A2AIX1	0.087018565	-2.137403783	0.285670244	0.811887364	0.010896219	-0.361495507	-0.220784114	-0.172159765	1.2562853	-1.314582212	-0.598637983	0.068304366	1.375708227	-0.304269004	0.985989793	0.025886514
A2AJI0	1.202647408	0.769821702	-0.930584807	-0.496174907	-0.255259315	-1.035789659	0.385217643	0.830124165	1.109940357	-0.445196722	-1.088653347	1.232208724	-1.034236075	-0.129050751	-0.436365554	0.581966063
A2AJL3	0.026906392	1.597830669	0.675969988	-0.418736163	1.913143543	0.787461008	-0.400109572	0.548821477	-0.207442611	-1.852651269	-0.975960058	0.339649114	-0.124236171	-0.494801202	-0.388788434	-0.896610557
A2AKK5	-0.074591891	-0.382026512	1.083583052	0.949804864	0.262954396	-1.423404825	-0.399132593	-1.00971435	-0.796065939	0.09317907	-1.68361459	-0.605465031	0.444570988	1.219845657	1.166387286	1.180845153
A2AKQ0	-0.154247483	1.513239077	-0.123278716	0.197978805	-1.33340226	0.352989311	0.619826112	-0.012751451	-0.976154783	-0.743919751	-0.71033768	0.311762261	0.009595161	0.62957279	0.678158393	0.141457678
A2AKX3	1.429328144	-0.267441425	1.089961538	-0.065194125	-0.601787038	1.058069605	-0.007434538	-0.036513175	-1.656642841	-1.5309256	0.494237795	-0.244702647	-0.368010869	0.215998591	1.085911801	-0.375951874
A2ALU4	-0.905934903	-1.852096153	1.270166683	-0.335796041	-0.454416722	0.960172297	-0.646212068	0.274435892	-0.348961214	0.751658613	1.254968561	-0.415435481	-0.691704023	-0.093566368	0.80202748	0.16539102
A2ALW5	0.168606897	-0.878125851	-1.43705365	0.762459433	0.274352577	-1.338450357	-0.740350388	-0.03484684	-0.263760414	-0.337330055	-0.407719074	0.896375937	0.323475992	1.287233052	2.255151445	-0.552247817
A2AM56	0.847477695	-0.468285157	-1.465475924	1.78542346	0.326949733	-1.057038414	-0.188449987	-0.296968492	-0.90839089	-0.016573494	0.483657789	0.653871945	0.437893511	0.757676459	0.643352515	-1.503565958
A2AM95	0.069823946	0.481973722	-1.034230278	-0.38210656	-0.211699339	-1.816179163	0.736933627	0.77055215	0.321752431	-0.959406129	-0.882534445	0.406068157	-0.230121527	-0.026520418	0.80370115	2.032743312
A2AN08	0.065560935	0.680966653	-2.256304547	0.524410674	1.226380419	-0.333086591	0.786673128	-0.444634138	0.870762309	-1.133507756	-0.820108483	0.235143031	0.431375884	-0.722210048	0.533807186	0.1584109
A2AN96	-1.048381011	0.654553045	0.530242764	-0.509423416	-0.051951131	1.144035746	-1.286419913	0.392114192	-1.742088811	-1.443384684	0.089723652	1.12916669	0.883042255	1.201708001	0.383370951	-0.312245688
A2AP31	0.877673452	0.739691149	-0.766162674	0.278614927	-1.076105176	-1.936158335	0.523127296	-0.640556335	0.762777306	0.524559172	-0.997047026	-0.651257202	-0.073729267	1.421801587	0.150814531	0.900519124
