Gene_id	Gene_symbol	Protein_name	Uniprot_ACC
ENSMUSG00000030105	Arl8b	ADP-ribosylation factor-like protein 8B	ARL8B_MOUSE
ENSMUSG00000042428	Mgat3	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	MGAT3_MOUSE
ENSMUSG00000096054	Syne1	Nesprin-1	SYNE1_MOUSE
ENSMUSG00000046532	Ar	Androgen receptor	ANDR_MOUSE
ENSMUSG00000020495	Smg8	Protein SMG8	SMG8_MOUSE
ENSMUSG00000058979	Hdhd5	Haloacid dehalogenase-like hydrolase domain-containing 5	HDHD5_MOUSE
ENSMUSG00000045903	Npas4	Neuronal PAS domain-containing protein 4	NPAS4_MOUSE
ENSMUSG00000038045	Sult6b1	Sulfotransferase 6B1	ST6B1_MOUSE
ENSMUSG00000041889	Shisa4	Protein shisa-4	SHSA4_MOUSE
ENSMUSG00000021392	Nol8	Nucleolar protein 8	NOL8_MOUSE
ENSMUSG00000049536	Tceal1	Transcription elongation factor A protein-like 1	TCAL1_MOUSE
ENSMUSG00000027333	Smox	Spermine oxidase	SMOX_MOUSE
ENSMUSG00000019297	Nop9	Nucleolar protein 9	NOP9_MOUSE
ENSMUSG00000091228	Gm20390		
ENSMUSG00000079560	Hoxa3	Homeobox protein Hox-A3	HXA3_MOUSE
ENSMUSG00000030786	Itgam	Integrin alpha-M	ITAM_MOUSE
ENSMUSG00000025237	Parp6	Protein mono-ADP-ribosyltransferase PARP6	PARP6_MOUSE
ENSMUSG00000006299	Aamp	Angio-associated migratory protein	A0A087WNM5_MOUSE
ENSMUSG00000042357	Gjb5	Gap junction beta-5 protein	CXB5_MOUSE
ENSMUSG00000022375	Lrrc6	Dynein axonemal assembly factor 11	DAA11_MOUSE
ENSMUSG00000029608	Rph3a	Rabphilin-3A	RP3A_MOUSE
ENSMUSG00000025872	Thoc3	THO complex subunit 3	THOC3_MOUSE
ENSMUSG00000086965	Rtl10		
ENSMUSG00000025058	Tasl	TLR adapter interacting with SLC15A4 on the lysosome	TASL_MOUSE
ENSMUSG00000036792	Mbd5	Methyl-CpG-binding domain protein 5	MBD5_MOUSE
ENSMUSG00000015002	Efr3a	Protein EFR3 homolog A	EFR3A_MOUSE
ENSMUSG00000021287	Xrcc3	DNA repair protein XRCC3	XRCC3_MOUSE
ENSMUSG00000024163	Mapk8ip3	C-Jun-amino-terminal kinase-interacting protein 3	JIP3_MOUSE
ENSMUSG00000021610	Clptm1l	Cleft lip and palate transmembrane protein 1-like protein	CLP1L_MOUSE
ENSMUSG00000022938	Fam3b	Protein FAM3B	FAM3B_MOUSE
ENSMUSG00000026307	Scly	Selenocysteine lyase	SCLY_MOUSE
ENSMUSG00000020152	Actr2	Actin-related protein 2	ARP2_MOUSE
ENSMUSG00000041241	Mul1	Mitochondrial ubiquitin ligase activator of NFKB 1	MUL1_MOUSE
ENSMUSG00000005540	Fcer2a	Low affinity immunoglobulin epsilon Fc receptor	FCER2_MOUSE
ENSMUSG00000021368	Tbc1d7	TBC1 domain family member 7	TBCD7_MOUSE
ENSMUSG00000078812	Eif5a	Eukaryotic translation initiation factor 5A-1	IF5A1_MOUSE
ENSMUSG00000048655	Ccdc169	Coiled-coil domain-containing protein 169	CC169_MOUSE
ENSMUSG00000059741	Myl3	Myosin light chain 3	MYL3_MOUSE
ENSMUSG00000024403	Atp6v1g2	V-type proton ATPase subunit G 2	VATG2_MOUSE
ENSMUSG00000117853	Vmn1r88	Vomeronasal type-1 receptor	E9Q235_MOUSE
ENSMUSG00000041607	Mbp	Myelin basic protein	MBP_MOUSE
ENSMUSG00000109864	Eid3	EP300-interacting inhibitor of differentiation 3	EID3_MOUSE
ENSMUSG00000032504	Pdcd6ip	Programmed cell death 6-interacting protein	PDC6I_MOUSE
ENSMUSG00000050855	Zfp940	Zinc finger protein 940	Q3UVK2_MOUSE
ENSMUSG00000021280	Exoc3l4	Exocyst complex component 3-like protein 4	EX3L4_MOUSE
ENSMUSG00000003053	Cyp2c29	Cytochrome P450 2C29	CP2CT_MOUSE
ENSMUSG00000026163	Sphkap	A-kinase anchor protein SPHKAP	SPKAP_MOUSE
ENSMUSG00000001053	N4bp3	NEDD4-binding protein 3	N4BP3_MOUSE
ENSMUSG00000030374	Strn4	Striatin-4	STRN4_MOUSE
ENSMUSG00000045362	Tnfrsf26	Tumor necrosis factor receptor superfamily member 26	TNR26_MOUSE
ENSMUSG00000036306	Lzts1	Leucine zipper putative tumor suppressor 1	LZTS1_MOUSE
ENSMUSG00000079534	Pwwp4c	PWWP domain-containing 4C	A3KG49_MOUSE
ENSMUSG00000034297	Med13	Mediator of RNA polymerase II transcription subunit 13	MED13_MOUSE
ENSMUSG00000046714	Foxc2	Forkhead box protein C2	FOXC2_MOUSE
ENSMUSG00000036199	Ndufa13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	NDUAD_MOUSE
ENSMUSG00000060012	Kif13b	Kinesin family member 13B	A0A286YCV9_MOUSE
ENSMUSG00000033439	Trmt13	tRNA:m(4)X modification enzyme TRM13 homolog	TRM13_MOUSE
ENSMUSG00000039671	Zmynd8	Zinc finger, MYND-type-containing 8	A2A479_MOUSE
ENSMUSG00000032298	Neil1	Endonuclease 8-like 1	NEIL1_MOUSE
ENSMUSG00000022594	Lynx1	Ly-6/neurotoxin-like protein 1	LYNX1_MOUSE
ENSMUSG00000074646	6430550D23Rik	RIKEN cDNA 6430550D23 gene	A3KGJ9_MOUSE
ENSMUSG00000046876	Atxn1	Ataxin-1	ATX1_MOUSE
ENSMUSG00000000411	Tssk3	Testis-specific serine/threonine-protein kinase 3	TSSK3_MOUSE
ENSMUSG00000051159	Cited1	Cbp/p300-interacting transactivator 1	CITE1_MOUSE
