ID	LD2157	LD2158	LD2166	LD2223	LD2224	LD2225	LD2162	LD2163	LD2164	LD2213	LD2214	LD2215	LD2169	LD2170	LD2171	LD2243	LD2244	LD2245
ENSMUSG00000030105	5.715358512	5.633840817	5.841257137	5.746099116	5.573246155	5.190562394	5.872212363	5.721300695	5.793734652	5.694470506	5.860311116	5.902518922	5.636097372	5.624095234	5.624435259	5.628852268	5.520547356	5.438256963
ENSMUSG00000096054	3.988441084	3.587446415	4.095988413	4.191841655	3.425721026	2.175712472	3.985116854	3.968037669	3.824017073	4.50234239	4.337608452	3.785323102	4.357796997	4.642248188	4.160932471	5.005654592	3.77501824	2.517743054
ENSMUSG00000046532	3.185002947	3.201347194	2.904979537	2.551660021	1.514485118	1.496058077	3.087456025	2.700645734	3.082509523	2.753878788	2.991804444	2.586012937	2.739961373	3.057513311	2.844129148	2.966424184	1.704720579	2.351864976
ENSMUSG00000020495	2.913455387	3.192094704	3.082956444	3.214399657	3.51777138	3.420688386	2.768520163	2.810420215	2.960205269	2.899214875	3.260028113	2.814610209	3.070831751	3.172656886	3.236748489	3.193350542	3.376991739	3.326126499
ENSMUSG00000058979	4.074465851	4.429390816	3.738323131	4.166712493	3.991329459	4.657416774	3.591435766	4.133487725	3.888036564	3.849875729	4.13008021	3.976966304	3.767154109	3.943044598	4.165138837	3.973200242	4.650185659	4.386428291
ENSMUSG00000021392	3.145799689	3.02498134	3.34654903	2.994016669	1.435765821	-0.114599019	3.282468285	2.912429354	3.31320347	3.17520979	2.927880407	2.845977671	3.141016446	3.244611333	2.712363972	3.137857729	1.675203979	1.497794231
ENSMUSG00000027333	3.215616162	2.426540699	3.206862865	2.312946287	3.412078088	3.781761112	3.380404533	3.189370182	3.151205827	3.270921587	3.08686201	2.548370539	2.98013775	3.04950022	2.420246725	2.812910969	1.870161589	3.447623514
ENSMUSG00000019297	3.957078204	4.275823193	3.998487696	4.288197369	4.325595158	4.8115584	3.827359672	4.010062661	4.004014231	3.878208749	3.957874838	4.107806064	3.998999962	4.027057596	3.995990225	3.964112585	4.756185125	4.626345245
ENSMUSG00000091228	4.971492878	5.133494137	4.495871503	5.174810293	5.402339139	5.446148411	4.417546546	4.856167507	4.473050907	4.631568604	4.595856421	4.546186896	4.207371418	4.722531182	4.821235819	5.081652554	5.096699552	5.3183163
ENSMUSG00000030786	1.099766639	1.159775034	1.906183316	0.512136562	0.870954466	0.580874376	2.371979828	0.960667982	1.785328224	1.73711567	1.652913919	1.476239454	1.353349645	1.552787089	0.945793621	1.210071988	0.410103461	1.381484459
ENSMUSG00000025237	2.90408801	3.492654323	3.10560994	3.18966372	2.60726483	2.747322137	2.516152921	3.097066319	3.058864099	3.136637934	2.801082596	3.480132838	2.818208409	2.932376634	2.905757414	2.910753287	3.320913817	3.280679428
ENSMUSG00000006299	7.294495487	7.575316931	7.31068377	7.377911551	7.669028711	8.088548259	7.249480863	7.453986119	7.199682133	7.338808525	7.22880871	7.317956111	7.118933476	7.138057539	7.259457143	7.198390423	7.922176197	7.82298147
ENSMUSG00000025872	4.544283685	4.674979633	4.600085213	4.37486593	4.629586686	4.934414875	4.525751051	4.699331143	4.556214408	4.37557676	4.635075176	4.668870059	4.504045287	4.5684639	4.415178751	4.59614803	4.705984289	4.483224164
ENSMUSG00000036792	2.125898	1.943797806	2.511477398	1.761759482	1.46248569	1.0509306	2.076192763	2.168796863	2.102271052	2.186772579	2.248920039	2.139614284	2.282555073	2.388408293	2.224539768	2.280178776	1.733645376	1.069302604
ENSMUSG00000015002	4.964953224	4.973346624	4.937585531	4.707030216	4.080708296	3.473515759	4.798266977	4.611487757	4.946019659	4.822129942	4.776781879	4.703503531	4.655593274	4.666237177	4.869387422	4.839187522	4.236183367	4.251558589
ENSMUSG00000021287	1.899506362	1.876080347	1.55118776	1.869512197	2.043074357	2.191566196	1.415622263	1.660009187	1.521506805	2.027240589	1.526906659	1.881585257	2.137493454	1.996657474	2.348081887	2.250586282	2.276189077	2.096086549
ENSMUSG00000024163	3.339901273	3.605191826	3.280919366	4.320305025	3.768550799	3.198555229	4.109980209	3.597304367	3.497224066	4.138493252	3.946812549	4.14139972	4.212740837	4.680524431	4.16442462	4.543949385	3.663095691	3.642492086
ENSMUSG00000021610	6.400519286	6.471798237	6.197298333	6.713589904	7.082720372	7.192777529	6.544430054	6.423854128	6.319173377	6.263175665	6.424118845	6.303663843	6.365461718	6.407232359	6.627121811	6.344961297	6.748112333	6.875030746
ENSMUSG00000026307	6.210312398	6.493615621	5.922183685	6.411492921	6.555907415	7.000308355	6.079852435	6.367494676	6.123153065	6.055557078	6.272438256	6.11913043	5.903953291	6.087368745	6.294189376	6.134264069	6.848216149	6.541827133
ENSMUSG00000020152	6.592069627	6.334526532	6.853823208	6.26625602	5.287818279	4.325106635	6.795258843	6.3728729	6.691378646	6.478963404	6.430723438	6.213343677	6.630999818	6.414269747	6.253286168	6.517168879	5.320586523	4.873404244
