fid	Experimental mass	rt	Platform	Mode	_quant_LD2169	_quant_LD2170	_quant_LD2171	_quant_LD2243	_quant_LD2244	_quant_LD2245	_quant_LD2162	_quant_LD2163	_quant_LD2164	_quant_LD2213	_quant_LD2214	_quant_LD2215	_quant_LD2166	_quant_LD2157	_quant_LD2158	_quant_LD2223	_quant_LD2224	_quant_LD2225
N1	885.54802	16.302	C18	NEG	-0.0637525478	0.9769253749	-1.8057113534	1.10119615	-0.1277175385	1.3776992152	-1.029221404	1.1813898724	-0.3522623346	0.6529073856000001	-1.9680603585	-0.3219308443	0.417323016	0.1190277932	0.5896320616	0.9425200737	-0.2049134507	-1.4850511107
N2	804.5751	19.724	C18	NEG	2.4048714319	-1.1670144808	-0.326092619	0.7197533329	-0.4599257721	-0.0116349746	0.7057881591	1.2497956106	-1.179062891	-0.2743994967	0.2489124056	-1.0625584093	1.272903418	-1.1014919193	-0.1046387715	-1.2676186403	0.804121049	-0.4517074324
N3	883.53182	15.792	C18	NEG	-0.0708930191	0.4189783266	-1.7526375518	0.8786932918	-0.0009017901	1.1414658812	-1.0803038669	1.2623464203	-1.0720811606	0.6997725521	-1.81395067	0.6748591985	0.5231502239	0.0943827665	1.0791006615	0.8263792886	-0.2868715332	-1.5214890192
N4	802.55911	18.807	C18	NEG	2.4343098593	-0.3288012017	0.1259980325	0.6144122748	0.4488466409	0.6830222665	-0.1064293607	1.5410189018	-1.5733759332	-0.4762734898	-0.6233551567	0.0305499005	-0.4386083246	-0.9644238145	1.001991189	-1.7629120321	-0.2366164771	-0.369353275
N5	762.50662	17.058	C18	NEG	0.6006455312	0.8787326688	-1.7833793037	0.8716183647	-0.6243581852	0.9543651797	-0.3383470226	1.4009320297	0.1435971094	0.7999743086000001	-1.6158290428000002	-0.1047055013	0.9375323424	-0.1679946877	0.7283810441	0.2721080773	-1.0327664533	-1.9205064594
N6	826.55882	18.392	C18	NEG	0.7599387266000001	0.3958557735	-2.4548869618	0.4172385431	-0.8139595787	0.1476979047	0.1288151245	1.3327054424	0.1119455195	0.9534606984	-0.7957466614	-0.5126095563	1.0960644172	0.2211770254	1.0957493631	0.2728120903	-0.3210274913	-2.0352303791
N7	747.5652	16.792	C18	NEG	-0.3908528205	0.8315494611	-1.0028094452	1.3062944727	-2.3466139132	0.5473624601	0.6655801935	1.2623326125	-0.2087044384	0.5099772572	1.5962526351	-1.1405916973	0.1018791405	0.1979395907	-1.3339618572	0.2317694487	-0.7479241217	-0.0794789785
N8	540.33037	10.662	C18	NEG	-0.2378981474	0.6745619428	-2.1539606861	1.190488577	-1.534382278	1.2191794103	-0.6877134643	1.2286552616	-0.0429376378	0.0344916769	-0.9998697979	-0.6217692732	0.9340402912	0.5880468062	0.2861596002	1.432748019	-0.5909095346000001	-0.7189307659
N9	850.55826	18.167	C18	NEG	0.8932704208000001	0.8891365982	-2.0060100289	0.8718898302	-0.7240331950000001	0.7022344938	-0.1152723366	1.1975263217	-0.3194470667	0.5064919389	-1.755280476	-0.4387930692	1.0423654873	-0.1055671622	0.6043979298000001	0.9233321733	-0.4241137647	-1.7421280948
N10	500.27797	9.825	C18	NEG	-0.6748380168	1.2777710233	-1.4472618732	1.377943982	-0.4884867963	1.6012561611	-1.4891858758	0.730002683	0.32487181	0.8830113695	-1.2871563445	0.2885864444	-0.2659995413	-0.4795759997	-0.2966836057	1.474391694	-0.6968962081000001	-0.8317509061
N11	819.51703	16.348	C18	NEG	-0.2313304314	1.5006613253	-1.963010189	0.5494401428	-0.8948862379	1.2107924295	0.0977632632	1.5335139696	0.2490848183	0.963452613	-1.3392331613	-0.8153921818000001	0.9254174271	0.0501473693	-0.0104026448	0.3411012257	-0.8200475901000001	-1.3470721474
N12	828.57385	19.224	C18	NEG	0.2118959212	1.0961460918	-0.6727202239	1.3684853251	1.4783038798	1.4353472907	-1.7396114858	0.9215356093	-0.7169510279	0.0824421975	-1.3142815427	-0.1621276358	-0.4906308579	-0.8747732091	-0.1315927451	0.8217799640000001	0.2012360339	-1.514483585
N13	568.36144	11.98	C18	NEG	0.2690449651	0.9123970087	-1.9800868152	1.9138579837	-0.7806996302	1.1836960358	-0.802559561	0.6097389396	-0.1670471581	0.0913086344	-1.0034258476	-1.2842672752	0.3838472096	0.0836640574	-0.6716625714000001	1.7194585134	0.0029185378	-0.480183027
N14	887.56249	17.004	C18	NEG	0.7980722185	-0.1454270771	0.1368836502	0.7257366222	1.0943284497	0.6685868165000001	-0.6862244608	-0.2294606622	-3.2831346863	-0.4469143167	-0.8785459334	-0.5183474267	0.1465780605	-0.0565094235	0.2290664399	1.1433737471	1.0852351445	0.2167028375
