fid	Experimental mass	rt	Platform	Mode	_quant_LD2169	_quant_LD2170	_quant_LD2171	_quant_LD2243	_quant_LD2244	_quant_LD2245	_quant_LD2162	_quant_LD2163	_quant_LD2164	_quant_LD2213	_quant_LD2214	_quant_LD2215	_quant_LD2166	_quant_LD2157	_quant_LD2158	_quant_LD2223	_quant_LD2224	_quant_LD2225
P1	760.58465	19.341	C18	POS	-0.4144812237	0.7711226128	-0.2212103528	1.1812822205	0.2954320929	1.6235412301	-0.41251869	0.2361394878	-0.3418332054	-1.6747267945000002	-1.1375096056	-0.8612598795	-0.7592852994	-1.3142028725	-0.634682336	0.8144779089	1.9005573904	0.9491573159
P2	876.80088	23.952	C18	POS	1.0839170821	-0.1287226586	-1.0175244629	-1.1268653709	0.897484456	-2.4031564068	0.3634804667	0.1858097172	1.0680218779	1.6548823652	0.4141294553	-1.3504638496	0.3962759192	-0.3745389076	-0.6821124324000001	-0.2571010703	0.2931837358	0.9833000836
P3	782.56882	18.116	C18	POS	-0.1376107702	0.5665042467	-0.1905602143	-0.2646925983	-2.5855369193	-0.0455648477	1.3416157128	0.9596768383	0.6550475768	0.9397435467	0.9121467028	-0.9274174283	-0.0480824726	1.0755597512	0.5460400919	-1.5978166751	-0.1455058353	-1.053546706
P4	758.56897	18.518	C18	POS	-0.5017693475	0.6371051816000001	0.289703833	0.9805664716	-0.1024004031	0.1687415922	-0.4741330803	0.5514238365	0.079162192	-2.0556774303	-1.9166302023	0.2068875292	0.5196400738	1.485042541	1.7370026858	-0.2269473094	0.1135096715	-1.4912278351
P6	806.56868	17.913	C18	POS	-1.084914421	1.8796338039	0.8503561785	0.3021369981	-1.2420975083	0.6050617244000001	0.1975894498	0.6967930876	0.1928103216	-0.3938293937	-1.5109998276	-0.4894971556	0.5758816806	1.8501782524	0.4008138379	-1.4860572871	-0.2844541739	-1.0594055675
P7	874.78481	23.42	C18	POS	0.6919248039	-1.8146615389	-0.2892148446	-0.7476783455	1.3047634427	-2.2566182738	-0.02689031	0.3580157121	0.6518180292	1.9600149028	0.6171592593	-0.3930485832	0.4547372368	0.0068057036	0.3575163308	-0.9192032961	-0.5605870927000001	0.6051468638
P8	848.76963	23.348	C18	POS	1.2086852368	-1.5166998268	-0.2677449463	-0.6926959354000001	0.0160701442	-2.1173408376	-0.7702953587	-0.0121910914	0.7787853276000001	1.7170938938	0.5523301632000001	-1.0169162412	0.4572171818	-0.3312725463	0.1151513276	-0.3355293527	0.4682765831	1.7470762783
P9	784.58393	19.02	C18	POS	0.3723020021	0.8259350572	1.2086259951	1.1532308673	1.3234448309	0.2976373987	-1.0868528181	-0.8081582446000001	-0.9848436505	-0.8217375020000001	-1.3440688137	-0.2608829353	-1.7217714716	-0.4658592871	-0.7084910298	0.5598210388	1.5202334401000002	0.9414351225
P10	810.59934	19.6	C18	POS	0.307655187	1.2552842413	-0.0685898573	-0.3249858653	-1.6885218675	-0.2274841215	1.1598158969	0.2526781767	1.1876775304	1.6313321709	-0.2174593198	-1.9917990291	-0.4972722395	0.8446653420000001	-0.1136967733	-1.6771835146	0.1847818446	-0.0168978019
P11	902.81583	23.995	C18	POS	0.2296046123	-0.9198065946	-1.0114481336	-0.8659717873	2.5115888018	-1.9022130329	0.0968711324	0.2830409793	0.3335313942	1.235787306	0.6375246252	-0.4431078631	0.498138739	-0.6217644858	-0.1498249221	0.3776443226	-1.2005886674	0.9109935738
